id,name,orig_name,longitude,latitude
56,WB Bruckner Bv b/t Morrison Av and Bronx River Pkwy,WB BRUKNR BV. MORRISN AV - BRNX RVR AV,-73.87803285000001,40.8234688
57,Seaview Av b/t Rockaway Pwy and E 105 St,EB SEAVIEW AV. ROCKAWAY PWY - E105 ST,-73.8866891,40.63574165
58,WB Shore Pkwy b/t Knapp St and Batchelder St,WB SHORE PWY. KNAPPST - BATCHELDR ST,-73.9338887,40.58629425
59,NB Midland Av at Mason Av,NB MIDLAND AVE @ MASON AVE,-74.0976269,40.5747754
60,EB Linden Bv at Rockaway Av,EB LINDEN BLVD @ ROCKAWAY AVE,-73.9069317,40.6547918
61,Hillside Av b/t Manor Rd and 240 St,EB HILLSIDE AV MANORRD - 240 ST,-73.7344737,40.732169250000005
62,NB University Av at W Burnside Ave,NB UNIVERSITY AVE @W BURNSIDE AVE,-73.9122034,40.8537815
63,EB Beach Channel Dr at Beach 104 St,EB BEACH CHANNEL DR@ BEACH 104TH ST,-73.82621929999999,40.5850509
64,NB Soundview Av at Beach Av,NB SOUNDVIEW AVE @ BEACH AVE,-73.8633051,40.81869
65,EB Shore Pkwy at West Av,EB SHORE PKWY @ WESTAVE,-73.9713801,40.5830226
66,Grand Concourse b/t E 149 St and E 151 St,SB GRAND CONCOURSE.E151 ST - E149 ST,-73.92704219999999,40.819324550000005
67,EB Horace Harding Expy at Peck Ave,EB HORACE HARDING EXPRESSWAY @ PECK AVE,-73.78189569999999,40.7424764
68,WB Pelham Pkwy N b/t Hering Av and Bronxwood Av,WB N. PELHM PWY. HERING AV - BRXNWD AV,-73.85795114999999,40.858172149999994
69,SB Castle Hill Av b/t Seward Av and Lacombe Av,SB CASTLE HILL AV SEWARD AV - LACOMBE AV,-73.8480242,40.8190146
70,NB Kings Hwy b/t E 32 St and E 34 St,NB KINGS HWY. E32 ST- E34 ST,-73.9424381,40.61878645
71,Utopia Pwy b/t 56 Av and Horace Harding Expy,SB UTOPIA PWY. 56 AV- HORCE HRDG XPY,-73.79284515,40.741222699999994
72,EB Grand Central Pwy b/t 164 St and 170 St,EB GRND CNTRL PWY 164 ST - 170 ST,-73.79940754999998,40.717093500000004
73,Nostrand Av b/t Shore Pwy and Ave Z,SB NOSTRND AV. AVE Z- SHORE PWY,-73.93953364999999,40.58777765
74,Baychester Av b/t Schieffelin Av and Needham Av,SB BAYCHSTR AV. SCHIEFFELN AV - NEEDHM A,-73.8403463,40.88453115
75,WB N Conduit Av b/t Cross Bay Bv and 88 St,WB N. CONDUIT AV. CROSSBAY BV - 88 ST,-73.84520405,40.67003785
76,WB Brielle Av b/t Wellbrook Av and Gower St,WB BRIELLE AV WELLBROOK AV - GOWER ST,-74.12653125,40.598907600000004
77,EB Booth Memorial Av b/t Fresh Meadow Ln and 185 St,EB BTH MEMORIAL AV FRSH MDW LN - 185 ST,-73.79328844999999,40.7412908
78,Kings Hwy b/t Nostrand Av and E 34 St,NB KINGS HWY. NOSTRAND AV - E34 ST,-73.94323764999999,40.617885799999996
79,SB Francis Lewis Bv b/t Horace Harding Expy and 73 Av,SB FRANCIS LWS BV HORACE HRDNG EXPY - 73,-73.77448634999999,40.740022350000004
